par_id,probability,true_label,pred_label,text_snippet
9004,0.99829,0,1,Gladness ( 35 ) is a mother of three and a resident of Tongwe village in Muheza District . She and her brood were forced to live a pastoralist-kind of life for four years because they were rendered homeless by her husband 's family followin
9210,0.998288,0,1,"Perhaps one of Lahiri 's most lasting contributions was keeping written records of the conditions of the refugees , with vivid and heart wrenching descriptions of their plight ."
10268,0.9982876,0,1,""" This new project will see an active engagement with the community to help improve the lives of vulnerable children and their families . "" <h> ' Enlightened local authorities '"
10031,0.99828523,0,1,"Adopt a Mission serves as a platform for the church and for likeminded people to reach out to unemployed families in the communities -- whoever is in need . "" <h> The forgotten people of Brooklyn"
10200,0.998285,0,1,"She also praised the efforts to stabilise the lives of refugees , by providing for their basic needs and helping them overcome their challenges , while stressing that supporting refugees is an ongoing part of the UAE 's humanitarian directi"
8626,0.9982843,0,1,""" Your personal leadership has been critical to addressing the plight of the Rohingya who fled to safety in your country . I thank you for all you have done to assist these men , women and children in need , "" he wrote in the message ."
9130,0.99828416,0,1,"In another development , Eiremiokhae was also bestowed with a Humanitarian Award by the Trinity International University of Ambassadors also in Georgia for his works of charity and care for widows and the vulnerable ."
9423,0.9982828,0,1,"Christmas is celebration of the birth of not merely a child , but a child who changed the destiny of humans forever . It is celebration of the fact that God wanted to be a part of the human race and so he took on flesh and blood and became "
9549,0.99828184,0,1,Usually children of poor families remember their parents ' struggles and become generous to them as poverty early in life drove them to success . It is the children of the rich that feel a sense of entitlement that mostly becomes ungrateful
9983,0.9982816,0,1,"A lot of places were using vulnerable people , offering them somewhere to get a foot in the door , to get started and to be mentored ."
